mls,latitude,longitude,campus_number,school,rating
73253841,29.7501983,-95.49295998,101912116,BRIARGROVE EL,B
73657099,29.75154629,-95.46626429,101912116,BRIARGROVE EL,B
74104330,29.72978001,-95.47405162,101912116,BRIARGROVE EL,B
74792567,29.74648591,-95.49091641,101912116,BRIARGROVE EL,B
74962836,29.75702071,-95.4658243,101912116,BRIARGROVE EL,B
76820368,29.74905674,-95.47602701,101912116,BRIARGROVE EL,B
76952242,29.76620264,-95.48036045,101912116,BRIARGROVE EL,B
77436657,29.746077,-95.48761871,101912116,BRIARGROVE EL,B
77592956,29.75233764,-95.48866754,101912116,BRIARGROVE EL,B
77935188,29.74152624,-95.48735437,101912116,BRIARGROVE EL,B
79344725,29.73931043,-95.4873261,101912116,BRIARGROVE EL,B
79374445,29.76328929,-95.46940376,101912116,BRIARGROVE EL,B
79647584,29.73298757,-95.47519693,101912116,BRIARGROVE EL,B
80994958,29.75360076,-95.49265076,101912116,BRIARGROVE EL,B
81742599,29.74770744,-95.48860244,101912116,BRIARGROVE EL,B
81758073,29.75519094,-95.47203842,101912116,BRIARGROVE EL,B
82424613,29.7271359,-95.47394624,101912116,BRIARGROVE EL,B
82558911,29.75130898,-95.46858349,101912116,BRIARGROVE EL,B
83639619,29.74836593,-95.47724964,101912116,BRIARGROVE EL,B
84588824,29.75850776,-95.46653776,101912116,BRIARGROVE EL,B
85272867,29.73607849,-95.46905061,101912116,BRIARGROVE EL,B
85418105,29.74139978,-95.47567881,101912116,BRIARGROVE EL,B
85542229,29.71599425,-95.34768588,101912116,BRIARGROVE EL,B
85999774,29.74794626,-95.46959594,101912116,BRIARGROVE EL,B
86810708,29.75923507,-95.45875469,101912116,BRIARGROVE EL,B
87544554,29.73875406,-95.49400782,101912116,BRIARGROVE EL,B
87854049,29.75786514,-95.49185226,101912116,BRIARGROVE EL,B
88110699,29.75909763,-95.47914735,101912116,BRIARGROVE EL,B
88314975,29.74683732,-95.46895435,101912116,BRIARGROVE EL,B
88667793,29.72898816,-95.47180973,101912116,BRIARGROVE EL,B
88754561,29.73303769,-95.47399615,101912116,BRIARGROVE EL,B
88933905,29.75490089,-95.48735687,101912116,BRIARGROVE EL,B
90924956,29.8035186,-95.4176687,101912116,BRIARGROVE EL,B
91184041,29.72686197,-95.4710309,101912116,BRIARGROVE EL,B
92297681,29.75416074,-95.47927094,101912116,BRIARGROVE EL,B
92484278,29.76817427,-95.48046229,101912116,BRIARGROVE EL,B
92687204,29.7546074,-95.45983654,101912116,BRIARGROVE EL,B
93085439,29.76369715,-95.48633317,101912116,BRIARGROVE EL,B
93516140,29.768372,-95.470265,101912116,BRIARGROVE EL,B
93957956,29.75012852,-95.49372695,101912116,BRIARGROVE EL,B
94178192,29.73591086,-95.46927088,101912116,BRIARGROVE EL,B
