mls,street_number,street_name,unit,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school,full_address,latitude,longitude,geocode
83139865,728,Melwood Street,,Houston,77009,Harris,East Norhill,Single-Family,1920,3,2,0,2,6,0,1,FALSE,1,Other Style,615000,9,Heights/Greater Heights,9,9,1/28/2021,HOUSTON ISD,BROWNING EL,HEIGHTS H S,"728 Melwood Street, Houston, Texas, 77009",29.79418914,-95.37407,"(29.794189142857142, -95.37407)"
83161587,3913,Osage Street,,Houston,77063,Harris,Jeanetta Gardens,Single-Family,1950,2,1,0,1,4,0,1,FALSE,0,Traditional,400000,22,Briarmeadow/Tanglewilde,7,7,1/30/2021,HOUSTON ISD,EMERSON EL,WISDOM H S,"3913 Osage Street, Houston, Texas, 77063",29.7227843,-95.52646007,"(29.72278430236794, -95.52646006921675)"
83179111,4407,Engleford,,Houston,77026,Harris,Harris & Wilson,Single-Family,1943,3,2,0,2,11,0,2,FALSE,0,Contemporary/Modern,210000,2,Northside,54,54,12/8/2020,HOUSTON ISD,DOGAN EL,WHEATLEY H S,"4407 Engleford, Houston, Texas, 77026",29.79284524,-95.32559563,"(29.792845244897958, -95.32559563265306)"
83181618,1025,Wakefield Drive,,Houston,77018,Harris,Oak Forest Sec 01,Single-Family,1951,2,1,0,1,4,0,1,FALSE,0,Other Style,629000,9,Oak Forest East Area,48,48,12/20/2020,HOUSTON ISD,GARDEN OAKS MONTESSORI,WALTRIP H S,"1025 Wakefield Drive, Houston, Texas, 77018",29.82137718,-95.42544159,"(29.82137717627756, -95.42544159074477)"
83270439,515,W 25th Street,,Houston,77008,Harris,Houston Heights,Single-Family,2020,4,4,1,4.1,5,0,3,FALSE,2,"Colonial, French",739999,9,Heights/Greater Heights,54,54,12/14/2020,HOUSTON ISD,HELMS EL,HEIGHTS H S,"515 W 25th Street, Houston, Texas, 77008",29.80900686,-95.40639043,"(29.809006857142858, -95.40639042857143)"
83279383,904,Harrington Street,,Houston,77009,Harris,Allen A C,Single-Family,1920,3,2,0,2,0,0,1,FALSE,0,Traditional,290000,9,Northside,21,21,12/1/2020,HOUSTON ISD,SHERMAN EL,NORTHSIDE H S,"904 Harrington Street, Houston, Texas, 77009",29.77510031,-95.3582012,"(29.775100306122447, -95.35820120408164)"
83302377,1114,Bingham Street,,Houston,77007,Harris,Bingham Street Homes,Single-Family,2013,3,2,1,2.1,8,0,2,FALSE,2,"Contemporary/Modern, Other Style, Traditional",419900,9,Washington East/Sabine,64,64,12/4/2020,HOUSTON ISD,CROCKETT EL,HEIGHTS H S,"1114 Bingham Street, Houston, Texas, 77007",29.77166129,-95.36811214,"(29.771661285714288, -95.36811214285714)"
83391092,411,Lakeside Estates Drive,,Houston,77042,Harris,Lakeside Forest Sec 01,Single-Family,1970,5,3,0,3,9,1,2,FALSE,2,Colonial,648000,31,Memorial West,69,69,10/1/2020,HOUSTON ISD,ASKEW EL,WESTSIDE H S,"411 Lakeside Estates Drive, Houston, Texas, 77042",29.75758031,-95.57025651,"(29.757580305331853, -95.57025651069091)"
83398890,2710,Polk St,,Houston,77003,Harris,Eado,Single-Family,2014,3,3,1,3.1,3,0,3,FALSE,0,Contemporary/Modern,365000,4,East End Revitalized,2,2,2/4/2021,HOUSTON ISD,LANTRIP EL,WHEATLEY H S,"2710 Polk St, Houston, Texas, 77003",29.74574604,-95.35201092,"(29.74574604081633, -95.35201091836734)"
83422855,1915,Kolfahl,,Houston,77023,Harris,Kolfahl Estates,Single-Family,2020,3,3,1,3.1,6,0,3,FALSE,2,Contemporary/Modern,345000,4,East End Revitalized,79,79,11/19/2020,HOUSTON ISD,HENDERSON J EL,AUSTIN H S,"1915 Kolfahl, Houston, Texas, 77023",29.72274185,-95.32529597,"(29.722741848536675, -95.325295973103)"
