mls,school
35660694,CROCKETT EL
19432123,CROCKETT EL
10392394,CROCKETT EL
95926684,CROCKETT EL
83563017,CROCKETT EL
46896256,CROCKETT EL
45161031,CROCKETT EL
39795143,CROCKETT EL
75801520,CROCKETT EL
15371507,CROCKETT EL
74603195,CROCKETT EL
43186556,FIELD EL
3742892,FIELD EL
14502016,FIELD EL
43449636,FIELD EL
44871874,FIELD EL
96345323,FIELD EL
70831048,FIELD EL
15851509,FIELD EL
34228363,FIELD EL
33491714,FIELD EL
27114505,FIELD EL
37210122,FIELD EL
80608233,FIELD EL
7970739,FIELD EL
19492544,FIELD EL
87676912,FIELD EL
43416860,FIELD EL
96163027,FIELD EL
51973703,FIELD EL
19042958,FIELD EL
97593449,FIELD EL
19410844,FIELD EL
85952994,FIELD EL
75889811,FIELD EL
60073495,FIELD EL
51695374,FIELD EL
20683819,FIELD EL
69251416,FIELD EL
12808680,FIELD EL
43937302,FIELD EL
28933694,FIELD EL
79333261,FIELD EL
39356799,FIELD EL
61763538,FIELD EL
36114302,FIELD EL
26315892,FIELD EL
26199853,FIELD EL
39903293,FIELD EL
94087553,FIELD EL
80492191,FIELD EL
29247495,FIELD EL
18787151,FIELD EL
43670926,FIELD EL
79522028,FIELD EL
45263843,FIELD EL
73513802,FIELD EL
95103832,FIELD EL
14904278,FIELD EL
28527543,FIELD EL
23431940,FIELD EL
28737333,FIELD EL
52282733,FIELD EL
82691736,GREGORY-LINCOLN ED CTR
18880413,GREGORY-LINCOLN ED CTR
13863906,GREGORY-LINCOLN ED CTR
71466098,GREGORY-LINCOLN ED CTR
91730472,GREGORY-LINCOLN ED CTR
95801397,GREGORY-LINCOLN ED CTR
49786342,GREGORY-LINCOLN ED CTR
89590051,GREGORY-LINCOLN ED CTR
49821838,GREGORY-LINCOLN ED CTR
3230944,GREGORY-LINCOLN ED CTR
95012110,GREGORY-LINCOLN ED CTR
52206995,HARVARD EL
7476296,HARVARD EL
54888737,HARVARD EL
77675906,HARVARD EL
85856674,HARVARD EL
42706920,HARVARD EL
18426183,HARVARD EL
73659062,HARVARD EL
78657459,HARVARD EL
22963749,HARVARD EL
60879923,HARVARD EL
44841444,HARVARD EL
42394002,HARVARD EL
45616810,HARVARD EL
55178591,HARVARD EL
75205902,HARVARD EL
96654639,HARVARD EL
90145351,HARVARD EL
59406790,HARVARD EL
66200111,HARVARD EL
15754641,HARVARD EL
39159015,HARVARD EL
27637857,HARVARD EL
70953239,HARVARD EL
50563158,HARVARD EL
4065125,HARVARD EL
60413861,HELMS EL
13230816,HELMS EL
50293412,HELMS EL
86725771,HELMS EL
11239542,HELMS EL
58487555,HELMS EL
10547038,HELMS EL
49277956,HELMS EL
48279998,HELMS EL
32934860,HELMS EL
16330474,HELMS EL
87468552,HELMS EL
2363954,HELMS EL
44557610,HELMS EL
36880935,HELMS EL
