mls,street_number,street_name,unit,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school
54537275,5332,Fayette,,Houston,77056,Harris,Village of Tereglio,Single-Family,2010,4,3,1,3.1,9,2,4,FALSE,2,Traditional,899000,22,Galleria,170,431,8/20/2020,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
54543413,6628,Knox Street ,,Houston,77091,Harris,Highland Heights,Single-Family,2021,3,2,1,2.1,9,0,2,FALSE,0,Traditional,205000,9,Northwest Houston,9,9,1/28/2021,HOUSTON ISD,WESLEY ELEMENTARY,WASHINGTON B T HIGH SCHOOL
54583340,2207,Bethlehem Street,,Houston,77018,Harris,Candlelight Estates Sec 01,Single-Family,1960,4,2,0,2,7,1,1,FALSE,2,Traditional,445000,9,Oak Forest East Area,33,86,1/4/2021,HOUSTON ISD,STEVENS ELEMENTARY,SCARBOROUGH HIGH SCHOOL
54588869,3131,Pemberton Walk,,Houston,77025,Harris,Pemberton Crescent Amd Place,Single-Family,2009,3,3,1,3.1,7,1,3,FALSE,2,Traditional,420000,17,Knollwood/Woodside Area,9,150,1/28/2021,HOUSTON ISD,LONGFELLOW ELEMENTARY,BELLAIRE HIGH SCHOOL
54599800,3834,Marlowe ,,Houston,77005,Harris,Collegeview,Single-Family,2012,6,5,2,5.2,14,3,2,FALSE,2,"Other Style, Traditional",1995000,17,West University/Southside Area,20,20,1/17/2021,HOUSTON ISD,WEST UNIVERSITY ELEMENTARY,LAMAR HIGH SCHOOL
54644514,2423,Richton Street,,Houston,77098,Harris,Richton Street Terrace,Single-Family,2014,4,3,1,3.1,10,1,3,FALSE,2,Contemporary/Modern,850000,16,Upper Kirby,102,102,10/27/2020,HOUSTON ISD,POE ELEMENTARY,LAMAR HIGH SCHOOL
54654576,1236,25th  Street,C,Houston,77008,Harris,Shady Acres,Single-Family,2020,3,3,1,3.1,6,0,3,FALSE,2,Contemporary/Modern,414990,9,Heights/Greater Heights,159,471,8/31/2020,HOUSTON ISD,SINCLAIR ELEMENTARY,WALTRIP HIGH SCHOOL
54668520,1806,Potomac  Drive,D,Houston,77057,Harris,Westhaven Estates Sec 02,Single-Family,1983,3,2,1,2.1,8,3,2,FALSE,2,Traditional,569900,22,Galleria,137,137,9/22/2020,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
54669616,1831,La Magnolia Drive,,Houston,77023,Harris,Oaks of Lawndale,Single-Family,2021,2,2,1,2.1,4,0,2,FALSE,2,Traditional,314995,4,East End Revitalized,23,23,1/14/2021,HOUSTON ISD,CARRILLO ELEMENTARY,AUSTIN HIGH SCHOOL
54722063,5923,Dryad Drive,,Houston,77035,Harris,Westbury,Single-Family,1960,4,3,0,3,13,1,1,FALSE,2,"Ranch, Traditional",359900,20,Brays Oaks,32,366,1/5/2021,HOUSTON ISD,ANDERSON ELEMENTARY,WESTBURY HIGH SCHOOL
