mls,school,campus_number
17655836,WILSON MONTESSORI,101912259
19757684,WILSON MONTESSORI,101912259
21226607,WILSON MONTESSORI,101912259
21780891,WILSON MONTESSORI,101912259
26226646,WILSON MONTESSORI,101912259
26847135,WILSON MONTESSORI,101912259
26880126,WILSON MONTESSORI,101912259
27079590,WILSON MONTESSORI,101912259
27753665,WILSON MONTESSORI,101912259
29239577,WILSON MONTESSORI,101912259
30400303,WILSON MONTESSORI,101912259
30469224,WILSON MONTESSORI,101912259
30569321,WILSON MONTESSORI,101912259
33119708,WILSON MONTESSORI,101912259
37406733,WILSON MONTESSORI,101912259
45977831,WILSON MONTESSORI,101912259
46088864,WILSON MONTESSORI,101912259
47586430,WILSON MONTESSORI,101912259
48203471,WILSON MONTESSORI,101912259
48806810,WILSON MONTESSORI,101912259
51130015,WILSON MONTESSORI,101912259
52049422,WILSON MONTESSORI,101912259
55478507,WILSON MONTESSORI,101912259
55740429,WILSON MONTESSORI,101912259
55740429,WILSON MONTESSORI,101912259
56308983,WILSON MONTESSORI,101912259
57461715,WILSON MONTESSORI,101912259
57514085,WILSON MONTESSORI,101912259
58745128,WILSON MONTESSORI,101912259
58745128,WILSON MONTESSORI,101912259
58961384,WILSON MONTESSORI,101912259
59697161,WILSON MONTESSORI,101912259
60328112,WILSON MONTESSORI,101912259
60328112,WILSON MONTESSORI,101912259
60498830,WILSON MONTESSORI,101912259
60731417,WILSON MONTESSORI,101912259
62015891,WILSON MONTESSORI,101912259
62023931,WILSON MONTESSORI,101912259
62608613,WILSON MONTESSORI,101912259
63072703,WILSON MONTESSORI,101912259
66466034,WILSON MONTESSORI,101912259
69982172,WILSON MONTESSORI,101912259
70132376,WILSON MONTESSORI,101912259
71538619,WILSON MONTESSORI,101912259
71875227,WILSON MONTESSORI,101912259
73334108,WILSON MONTESSORI,101912259
75239051,WILSON MONTESSORI,101912259
75621762,WILSON MONTESSORI,101912259
76863421,WILSON MONTESSORI,101912259
76961370,WILSON MONTESSORI,101912259
77847979,WILSON MONTESSORI,101912259
77916316,WILSON MONTESSORI,101912259
82090909,WILSON MONTESSORI,101912259
82293073,WILSON MONTESSORI,101912259
85085474,WILSON MONTESSORI,101912259
85275441,WILSON MONTESSORI,101912259
85760625,WILSON MONTESSORI,101912259
90605869,WILSON MONTESSORI,101912259
92716080,WILSON MONTESSORI,101912259
92930439,WILSON MONTESSORI,101912259
96254926,WILSON MONTESSORI,101912259
956258,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
4760271,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
