mls,campus_number
11579455,101912219
11601814,101912198
11601814,101912012
11662244,101912168
11662244,101912020
11725906,101912008
11725906,101912201
11744201,101912019
11744201,101912108
11751265,101912019
11751265,101912187
11768087,101912156
11768087,101912014
11807636,101912023
11807636,101912394
11822516,101912007
11822516,101912475
11835422,101912174
11835422,101912016
11861207,101912275
11861207,101912036
11954775,101912158
11954775,101912014
11958900,101912008
11958900,101912204
12019404,101912151
12019404,101912017
12020420,101912001
12020420,101912292
12068812,101912192
12068812,101912018
12069066,101912389
12069066,101912003
12124409,101912008
12124409,101912058
12173839,101912036
12173839,101912273
12231763,101912014
12231763,101912127
12258124,101912215
12258124,101912017
12265589,101912001
12265589,101912287
12293435,101912024
12293435,101912252
12350896,101912157
12350896,101912015
12444445,101912241
12444445,101912015
12476283,101912014
12476283,101912159
12502411,101912036
12502411,101912275
12503971,101912001
12503971,101912117
12509126,101912010
12509126,101912239
12534544,101912015
12534544,101912241
12561983,101912310
12561983,101912286
12604025,101912115
12604025,101912015
12730896,101912243
12730896,101912020
12779450,101912255
12779450,101912008
12808680,101912012
12808680,101912152
12821287,101912011
12821287,101912244
12836939,101912003
12836939,101912197
12838077,101912248
12838077,101912023
12870525,101912020
12870525,101912110
12884635,101912024
12884635,101912252
12892280,101912058
12892280,101912008
12917305,101912124
12917305,101912018
12917338,101912221
12917338,101912008
12933915,101912221
12933915,101912008
12941045,101912396
12941045,101912036
12953374,101912267
12953374,101912023
12958635,101912149
12958635,101912009
12978269,101912174
12978269,101912016
12994846,101912009
12994846,101912116
13056643,101912016
13056643,101912188
13139415,101912020
13139415,101912257
13225876,101912135
13225876,101912012
13230816,101912170
13230816,101912012
13235662,101912036
13235662,101912276
13237620,101912215
13237620,101912017
13242230,101912008
13242230,101912255
13288847,101912017
13288847,101912224
13291460,101912008
13291460,101912256
13303817,101912198
13303817,101912015
13355065,101912258
13355065,101912004
13398913,101912249
13398913,101912012
13444040,101912015
13444040,101912204
13474879,101912002
13474879,101912224
13506482,101912015
13506482,101912241
13532622,101912110
13532622,101912020
13544466,101912259
13544466,101912008
13647674,101912198
13647674,101912012
13840171,101912058
13840171,101912008
13844431,101912218
13844431,101912009
13848685,101912019
13848685,101912187
13863906,101912012
13863906,101912058
13915219,101912475
13915219,101912007
13938486,101912008
13938486,101912058
13943413,101912024
13943413,101912252
14066021,101912252
14066021,101912024
14073990,101912012
14073990,101912120
14092267,101912201
14092267,101912008
14092489,101912019
14092489,101912108
14139208,101912002
14139208,101912173
14190006,101912255
14190006,101912008
14208067,101912015
14208067,101912245
14254926,101912003
14254926,101912240
14281550,101912015
14281550,101912157
14335173,101912002
14335173,101912189
